method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref
base,2,499712,2362.4222599321192,1031.5974755756654,633.8964635874311,4005.201786717959,10,2887.2530918487705,-524.8308319166513,-0.06756221714233102,10655.36453116767
snp,0,0,2601.091022360059,1103.3737524212484,897.5382131687477,4432.407403775776,10,2601.091022360059,0.0,0.0,10655.36453116767
snp,0,32768,2228.800918114134,1055.2594009398572,753.94211965306,4598.5688143242405,10,2601.091022360059,-372.2901042459248,-0.046222679648585396,10655.36453116767
snp,0,57344,2521.7232682305653,704.5532961982411,1344.814384754111,3716.6437383645475,10,2601.091022360059,-79.36775412949373,-0.009854117076214058,10655.36453116767
snp,0,81920,3160.9506070760485,1785.142649723838,474.0356078987403,6675.55970196912,10,2601.091022360059,559.8595847159895,0.06951087320715565,10655.36453116767
snp,0,106496,4215.454032661373,2515.9525614192266,1052.8406159196684,9848.614512658298,10,2601.091022360059,1614.3630103013143,0.20043558346206145,10655.36453116767
snp,0,131072,2400.384715778223,1186.2713457323805,579.1943139942168,3829.3753840512563,10,2601.091022360059,-200.7063065818361,-0.024919231552968487,10655.36453116767
snp,0,155648,3380.3264225242083,1494.43728034871,1527.3747315609996,5926.976233513027,10,2601.091022360059,779.2354001641493,0.09674806786922269,10655.36453116767
snp,0,180224,2840.303597773858,1132.1151112032096,1043.7766300933006,4243.841235942186,10,2601.091022360059,239.2125754137992,0.029700080972233228,10655.36453116767
snp,0,204800,3445.410153900836,912.6673586379275,2108.2174188825893,4903.624437298231,10,2601.091022360059,844.3191315407771,0.10482871366519374,10655.36453116767
snp,0,229376,3025.620830942327,1429.1838345545204,940.8071170070831,5350.865707734445,10,2601.091022360059,424.52980858226783,0.052708640706740584,10655.36453116767
snp,0,253952,3901.2361876409777,1087.2802802578929,2044.8824248681642,5769.288339418767,10,2601.091022360059,1300.1451652809187,0.16142302141810114,10655.36453116767
snp,0,278528,3987.8062527951383,1275.8509257369908,1414.394366280025,5837.964084112531,10,2601.091022360059,1386.7152304350793,0.17217136079951711,10655.36453116767
snp,0,303104,3359.114872401287,1594.4903498388467,596.2518611313268,6154.462823831985,10,2601.091022360059,758.0238500412279,0.09411449078780221,10655.36453116767
snp,0,327680,3643.2667660261527,1542.0527453460275,2160.2808213733924,7863.647044882319,10,2601.091022360059,1042.1757436660937,0.12939413373497266,10655.36453116767
snp,0,352256,2600.1838189424634,1191.1660821171547,622.2720401786975,4375.083317361638,10,2601.091022360059,-0.9072034175956105,-0.00011263628140898339,10655.36453116767
snp,0,376832,3198.982155550809,593.7825618715468,2260.278412883288,4021.9473168929353,10,2601.091022360059,597.8911331907498,0.07423278244309725,10655.36453116767
snp,0,401408,2811.713736975406,887.4899983868867,1059.2957000936444,3876.035826508995,10,2601.091022360059,210.62271461534692,0.026150429875379032,10655.36453116767
snp,0,425984,3413.8526479757084,786.7400155289247,2184.8196441601362,4790.3957789547385,10,2601.091022360059,812.7616256156493,0.10091060660231581,10655.36453116767
snp,0,450560,3120.7236400428387,569.445414503524,1970.609290078409,3971.1406780971874,10,2601.091022360059,519.6326176827797,0.06451638587267096,10655.36453116767
snp,0,475136,3097.1534692335836,575.6149762674534,2228.7265138665916,4073.164785484937,10,2601.091022360059,496.06244687352455,0.06158996789337661,10655.36453116767
snp,0,499712,3355.7938407861357,1099.3156420751543,992.8274118872079,4971.006902397368,10,2601.091022360059,754.7028184260766,0.09370215917141157,10655.36453116767
snp,1,0,1982.6582280155012,1614.601126617619,471.5147456108769,5607.962709649542,10,1982.6582280155012,0.0,0.0,10655.36453116767
snp,1,32768,1109.1829363470517,708.1797690178139,301.08609167762296,2316.155605821471,10,1982.6582280155012,-873.4752916684495,-0.10071542388680475,10655.36453116767
snp,1,57344,1739.8166950717866,1487.0901618051048,420.47355659756124,5131.137621083967,10,1982.6582280155012,-242.84153294371458,-0.028000663740619363,10655.36453116767
