method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref
snp,2,303104,4929.799081130537,3465.1846553396563,-563.3992935795424,10358.391512093116,10,5226.905456413774,-297.10637528323696,-0.04747186489459792,11485.483582540317
snp,2,327680,5141.1397271762435,4434.463821646654,-564.8387649660428,10699.176405524897,10,5226.905456413774,-85.76572923753065,-0.01370370833365432,11485.483582540317
snp,2,352256,6466.501528193695,3354.015069958209,-569.0810352033666,10995.75392831014,10,5226.905456413774,1239.5960717799207,0.1980635292235375,11485.483582540317
snp,2,376832,5506.5546303131905,4428.947471136382,-579.8261544421231,11092.925204073883,10,5226.905456413774,279.6491738994164,0.044682541021151996,11485.483582540317
snp,2,401408,4977.009032941656,4509.819401772511,-574.1714169182117,11156.522314690785,10,5226.905456413774,-249.89642347211793,-0.039928625703175666,11485.483582540317
snp,2,425984,8717.859002588852,2433.2210790499043,4034.81743963122,11124.558803739952,10,5226.905456413774,3490.9535461750775,0.5577870045345035,11485.483582540317
snp,2,450560,6093.393796618713,3859.546653581629,-585.9142546231111,11129.480829603632,10,5226.905456413774,866.488340204939,0.13844811434874005,11485.483582540317
snp,2,475136,7177.824353990535,3339.108739024333,2442.8660712718474,10823.435612552476,10,5226.905456413774,1950.918897576761,0.31171918891942835,11485.483582540317
snp,2,499712,6377.775412078338,4242.813710914754,-543.4014000112998,11237.162615760151,10,5226.905456413774,1150.8699556645643,0.18388680819950953,11485.483582540317
inject,0,0,1066.2259211795913,2221.131813889452,-846.0535311645832,4782.558945538724,10,785.9808004170143,280.245120762577,0.02619234991037316,11485.483582540317
inject,0,32768,2520.896623903851,4204.68069033629,-850.1887240394557,10633.711187094468,10,785.9808004170143,1734.9158234868366,0.16214920063606875,11485.483582540317
inject,0,57344,1275.1400472325442,3651.5014785928793,-857.434239449903,11052.536083983916,10,785.9808004170143,489.15924681552997,0.045717941920357066,11485.483582540317
inject,0,81920,2526.841205665144,3427.5301704138456,-857.1113142129243,10372.860814092695,10,785.9808004170143,1740.8604052481298,0.16270479484280795,11485.483582540317
inject,0,106496,5477.397292204662,4032.019034746573,-850.7197567992971,10529.676030030625,10,785.9808004170143,4691.416491787648,0.4384705146474266,11485.483582540317
inject,0,131072,3961.2266992844757,4617.7542483228035,-846.2852115794007,10939.701222316777,10,785.9808004170143,3175.2458988674616,0.2967657435330441,11485.483582540317
inject,0,155648,4979.323205148599,4449.8287778811855,-823.8665996299065,11105.652563665699,10,785.9808004170143,4193.342404731585,0.3919193713698443,11485.483582540317
inject,0,180224,2394.636310113868,3485.572962915839,-832.6140101772044,8039.751095412867,10,785.9808004170143,1608.6555096968539,0.15034862295042736,11485.483582540317
inject,0,204800,2831.5933742203933,4196.5382017773345,-835.0153029013794,11087.925547867231,10,785.9808004170143,2045.612573803379,0.19118762948779214,11485.483582540317
inject,0,229376,5620.645285659359,4780.026625689433,-837.6295598632587,11206.352030116519,10,785.9808004170143,4834.664485242344,0.4518587997255562,11485.483582540317
