method,seed,step,eval_episode,return,J0,improvement,norm_improvement,J_ref
base,0,401408,6,10094.9774506486,5375.566694215493,4719.410756433106,0.7733081280283305,11478.45192793555
base,0,401408,7,339.57676473137053,5375.566694215493,-5035.9899294841225,-0.8251818174187124,11478.45192793555
base,0,401408,8,9911.038571323821,5375.566694215493,4535.471877108328,0.743168469121044,11478.45192793555
base,0,401408,9,10095.856483512085,5375.566694215493,4720.289789296592,0.7734521636491357,11478.45192793555
base,0,425984,0,9883.151665820988,5375.566694215493,4507.5849716054945,0.738599006575004,11478.45192793555
base,0,425984,1,10045.362163247679,5375.566694215493,4669.795469032186,0.7651783196684006,11478.45192793555
base,0,425984,2,8270.920900412504,5375.566694215493,2895.354206197011,0.47442383312813885,11478.45192793555
base,0,425984,3,10345.79639536947,5375.566694215493,4970.229701153978,0.8144065487054771,11478.45192793555
base,0,425984,4,10088.687331913154,5375.566694215493,4713.120637697661,0.7722774485228959,11478.45192793555
base,0,425984,5,9979.903250380134,5375.566694215493,4604.336556164641,0.7544524235799175,11478.45192793555
base,0,425984,6,10327.798176688366,5375.566694215493,4952.231482472873,0.8114574159610646,11478.45192793555
base,0,425984,7,10130.7171192767,5375.566694215493,4755.150425061207,0.779164320182293,11478.45192793555
base,0,425984,8,9954.10546936628,5375.566694215493,4578.538775150788,0.7502252785457808,11478.45192793555
base,0,425984,9,10334.98477107047,5375.566694215493,4959.418076854978,0.8126349892080953,11478.45192793555
base,0,450560,0,7253.4410423593445,5375.566694215493,1877.8743481438514,0.30770271370341284,11478.45192793555
base,0,450560,1,4731.160847664052,5375.566694215493,-644.4058465514408,-0.10559035960324757,11478.45192793555
base,0,450560,2,9940.597631558836,5375.566694215493,4565.030937343343,0.7480119257973795,11478.45192793555
base,0,450560,3,9762.484545766543,5375.566694215493,4386.91785155105,0.7188268634961936,11478.45192793555
base,0,450560,4,9672.280703590164,5375.566694215493,4296.714009374671,0.7040463394150265,11478.45192793555
base,0,450560,5,9553.706684603208,5375.566694215493,4178.139990387715,0.6846171654380404,11478.45192793555
base,0,450560,6,9782.33993523529,5375.566694215493,4406.773241019797,0.7220803065325769,11478.45192793555
base,0,450560,7,-255.5909155589258,5375.566694215493,-5631.157609774419,-0.9227041625718403,11478.45192793555
base,0,450560,8,10350.762315866963,5375.566694215493,4975.19562165147,0.8152202491613272,11478.45192793555
base,0,450560,9,10023.942305127352,5375.566694215493,4648.3756109118585,0.7616685276116096,11478.45192793555
base,0,475136,0,10329.068533442805,5375.566694215493,4953.501839227312,0.8116655727107954,11478.45192793555
base,0,475136,1,9522.91976196259,5375.566694215493,4147.353067747097,0.6795725150052471,11478.45192793555
base,0,475136,2,10280.804135523273,5375.566694215493,4905.23744130778,0.8037571169454878,11478.45192793555
base,0,475136,3,10329.283812670192,5375.566694215493,4953.717118454699,0.8117008477027224,11478.45192793555
base,0,475136,4,10253.336740497334,5375.566694215493,4877.770046281841,0.7992563940956342,11478.45192793555
base,0,475136,5,10128.59468847786,5375.566694215493,4753.027994262367,0.7788165452009178,11478.45192793555
base,0,475136,6,10220.915210431143,5375.566694215493,4845.34851621565,0.7939439019186978,11478.45192793555
base,0,475136,7,10329.312790964406,5375.566694215493,4953.746096748913,0.8117055959968653,11478.45192793555
base,0,475136,8,-68.32075697563897,5375.566694215493,-5443.887451191132,-0.8920186504934081,11478.45192793555
base,0,475136,9,10395.148968380965,5375.566694215493,5019.582274165472,0.8224933094937551,11478.45192793555
base,0,499712,0,10248.265183861165,5375.566694215493,4872.698489645672,0.7984253844270736,11478.45192793555
base,0,499712,1,9957.336679744018,5375.566694215493,4581.769985528525,0.750754734737969,11478.45192793555
base,0,499712,2,10059.827393245925,5375.566694215493,4684.260699030432,0.7675485477559209,11478.45192793555
base,0,499712,3,10334.39351239461,5375.566694215493,4958.826818179117,0.8125381073803826,11478.45192793555
base,0,499712,4,10231.482712413257,5375.566694215493,4855.916018197764,0.7956754602842384,11478.45192793555
base,0,499712,5,875.4461302263479,5375.566694215493,-4500.120563989145,-0.7373759117060585,11478.45192793555
base,0,499712,6,9924.52996341028,5375.566694215493,4548.963269194786,0.745379127124197,11478.45192793555
base,0,499712,7,9979.353773806204,5375.566694215493,4603.787079590711,0.7543623880388911,11478.45192793555
base,0,499712,8,10153.290269417057,5375.566694215493,4777.723575201564,0.7828630871215655,11478.45192793555
base,0,499712,9,8135.325295718557,5375.566694215493,2759.758601503064,0.4522055544814215,11478.45192793555
