method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref,energy_mean,knn_mean
twostep,0,131072,6855.885553935264,2803.660115157113,2793.4069491336113,10688.744557628903,10,4729.273253550446,2126.612300384819,0.31476407579336074,11485.483582540317,0.18051958084106445,6.8389555046101425
twostep,0,155648,7857.506796159357,2906.259969783782,1986.8743137860774,10929.47481272104,10,4729.273253550446,3128.233542608911,0.46301600894855516,11485.483582540317,0.20727843046188354,4.386812760690847
twostep,0,180224,7012.79486188671,3649.227248252769,-379.335037764992,10733.979813886468,10,4729.273253550446,2283.5216083362648,0.3379885315588877,11485.483582540317,0.2373991757631302,4.686791524167855
twostep,0,204800,8077.038298916343,3186.153918895317,-173.1175865241594,10664.949842414058,10,4729.273253550446,3347.765045365897,0.4955092991267067,11485.483582540317,0.23943394422531128,4.698280452473958
twostep,0,229376,4324.296574814499,2957.786635103744,-333.8907597940558,10878.748131958102,10,4729.273253550446,-404.97667873594673,-0.059941395983235154,11485.483582540317,0.26184338331222534,2.2760658814042807
twostep,0,253952,7468.645603026734,2936.3934454485716,2515.6843267916365,10482.263160294668,10,4729.273253550446,2739.372349476288,0.40545989773536173,11485.483582540317,0.25886571407318115,5.497119878460962
twostep,0,278528,7784.983349408234,3268.309788923522,-256.3004992691298,10745.013783755288,10,4729.273253550446,3055.7100958577885,0.4522816707309894,11485.483582540317,0.2648962140083313,3.570794350607197
twostep,0,303104,8179.05198695416,3425.836836288517,2800.877695809385,10681.079477425114,10,4729.273253550446,3449.778733403715,0.5106085460499401,11485.483582540317,0.2447429597377777,3.514970188108086
twostep,0,327680,5511.924082510497,3962.5337230241485,-326.9040607321717,10418.23069180741,10,4729.273253550446,782.6508289600515,0.1158416909381838,11485.483582540317,0.26551640033721924,6.0657393139173585
twostep,0,352256,8838.916567447752,2741.600225863866,1816.8524181364699,10586.05965406731,10,4729.273253550446,4109.643313897306,0.6082764024759819,11485.483582540317,0.2789756655693054,4.20287136996587
twostep,0,376832,8295.472442900547,3493.496434858379,-325.67300396038996,10675.233292563684,10,4729.273253550446,3566.1991893501017,0.527840167071212,11485.483582540317,0.2794606685638428,6.998950798279045
twostep,0,401408,7737.265922044511,3543.3358308895636,-321.0938043988663,10640.240994781394,10,4729.273253550446,3007.9926684940656,0.4452189203083284,11485.483582540317,0.2870507538318634,4.148579698756337
twostep,0,425984,7641.412994743347,2764.4172915871445,2888.371225867306,10394.528253579385,10,4729.273253550446,2912.139741192901,0.43103153971780905,11485.483582540317,0.2823845446109772,1.4561657153010368
